iter	Passed	Remaining
417	2707	3769
418	2713	3762
419	2719	3756
420	2726	3750
421	2733	3743
422	2739	3736
423	2745	3729
424	2751	3722
425	2758	3716
426	2764	3709
427	2770	3703
428	2777	3696
429	2783	3690
430	2790	3683
431	2796	3677
432	2803	3671
433	2810	3664
434	2816	3657
435	2822	3651
436	2827	3643
437	2834	3636
438	2840	3630
439	2847	3623
440	2853	3616
441	2859	3609
442	2866	3604
443	2872	3597
444	2878	3590
445	2885	3583
446	2891	3577
447	2897	3570
448	2904	3563
449	2910	3557
450	2916	3550
451	2922	3543
452	2929	3537
453	2935	3530
454	2942	3524
455	2948	3517
456	2954	3510
457	2961	3504
458	2967	3498
459	2974	3491
460	2980	3485
461	2987	3479
462	2994	3473
463	3000	3466
464	3007	3460
465	3014	3454
466	3021	3449
467	3029	3443
468	3038	3439
469	3046	3435
470	3053	3429
471	3060	3423
472	3068	3418
473	3075	3413
474	3081	3406
475	3088	3399
476	3095	3393
477	3102	3387
478	3109	3382
479	3116	3376
480	3123	3370
481	3130	3364
482	3137	3358
483	3144	3352
484	3152	3347
485	3159	3341
486	3166	3335
487	3174	3330
488	3181	3324
489	3188	3318
490	3195	3313
491	3202	3307
492	3209	3301
493	3217	3295
494	3224	3289
495	3231	3283
496	3239	3278
497	3246	3272
498	3253	3266
499	3260	3260
500	3267	3253
501	3273	3247
502	3288	3249
503	3295	3243
504	3302	3236
505	3309	3230
506	3316	3224
507	3324	3219
508	3331	3214
509	3338	3207
510	3346	3201
511	3354	3197
512	3363	3192
513	3370	3186
514	3378	3181
515	3386	3176
516	3393	3170
517	3402	3165
518	3410	3160
519	3417	3155
520	3425	3149
521	3432	3143
522	3438	3136
523	3445	3129
524	3452	3123
525	3459	3117
526	3467	3111
527	3473	3105
528	3480	3099
529	3487	3092
530	3494	3086
531	3500	3079
532	3508	3073
533	3515	3067
534	3522	3061
535	3529	3055
536	3536	3049
537	3543	3043
538	3551	3037
539	3559	3031
540	3566	3025
541	3574	3020
542	3582	3015
543	3589	3009
544	3597	3003
545	3604	2997
546	3621	2999
547	3627	2992
548	3635	2986
549	3643	2980
550	3651	2975
551	3659	2969
552	3666	2963
553	3674	2958
554	3683	2953
555	3691	2947
556	3698	2941
557	3706	2935
558	3713	2929
559	3720	2923
560	3728	2918
561	3735	2911
562	3742	2905
563	3750	2899
564	3756	2892
565	3763	2885
566	3769	2878
567	3776	2872
568	3783	2865
569	3791	2860
570	3798	2853
571	3804	2847
572	3812	2840
573	3819	2834
574	3826	2827
575	3832	2821
576	3839	2814
577	3846	2808
578	3854	2802
579	3860	2795
580	3867	2789
581	3874	2782
582	3891	2783
583	3898	2776
584	3905	2770
585	3913	2765
586	3921	2759
587	3929	2753
588	3937	2747
589	3945	2742
590	3954	2736
591	3962	2731
592	3970	2725
593	3978	2719
594	3985	2712
595	3992	2706
596	4000	2700
597	4007	2694
598	4015	2687
599	4021	2681
600	4028	2674
601	4035	2668
602	4043	2661
603	4049	2655
604	4057	2649
605	4064	2642
606	4071	2636
607	4078	2629
608	4086	2623
609	4093	2616
610	4100	2610
611	4107	2603
612	4114	2597
613	4121	2590
614	4128	2584
615	4135	2577
616	4141	2570
617	4148	2564
618	4155	2557
619	4162	2551
620	4169	2544
621	4175	2537
622	4183	2531
623	4190	2524
624	4196	2518
625	4204	2512
626	4212	2505
627	4219	2499
628	4225	2492
629	4232	2485
630	4238	2478
631	4245	2472
632	4252	2465
633	4258	2458
634	4264	2451
635	4271	2444
636	4279	2438
637	4286	2432
638	4294	2426
639	4301	2419
640	4308	2413
641	4316	2407
642	4332	2405
643	4338	2398
644	4346	2392
645	4353	2385
646	4362	2379
647	4369	2373
648	4377	2367
649	4385	2361
650	4394	2355
651	4402	2349
652	4409	2343
653	4417	2337
654	4425	2331
655	4433	2324
656	4440	2318
657	4448	2311
658	4455	2305
659	4462	2298
660	4469	2292
661	4476	2285
662	4483	2279
663	4491	2272
664	4498	2266
665	4505	2259
666	4512	2252
667	4519	2245
668	4525	2239
669	4532	2232
670	4539	2225
671	4548	2220
672	4556	2213
673	4563	2207
674	4570	2200
675	4577	2194
676	4584	2187
677	4590	2180
678	4597	2173
679	4605	2167
680	4612	2160
681	4619	2153
682	4627	2147
683	4634	2141
684	4651	2139
685	4659	2132
686	4667	2126
687	4676	2120
688	4686	2115
689	4694	2109
690	4702	2102
691	4711	2097
692	4719	2090
693	4727	2084
694	4734	2077
695	4742	2071
696	4749	2064
697	4757	2058
698	4765	2051
699	4772	2045
700	4779	2038
701	4786	2031
702	4793	2025
703	4801	2018
704	4808	2012
705	4815	2005
706	4822	1998
707	4829	1991
708	4836	1985
709	4843	1978
710	4851	1971
711	4857	1964
712	4865	1958
713	4872	1951
714	4879	1945
715	4886	1938
716	4893	1931
717	4900	1924
718	4908	1918
719	4914	1911
720	4923	1905
721	4934	1899
722	4943	1893
723	4950	1887
724	4962	1882
725	4973	1876
726	4986	1872
727	4994	1865
728	5001	1859
729	5008	1852
730	5015	1845
731	5022	1838
732	5029	1832
733	5036	1825
734	5043	1818
735	5051	1811
736	5057	1804
737	5064	1798
738	5071	1790
739	5077	1784
740	5084	1777
741	5091	1770
742	5098	1763
743	5105	1756
744	5112	1749
745	5119	1743
746	5126	1736
747	5139	1731
748	5149	1725
749	5158	1719
750	5165	1712
751	5172	1705
752	5179	1699
753	5186	1692
754	5194	1685
755	5200	1678
756	5207	1671
757	5214	1664
758	5222	1658
759	5229	1651
760	5235	1644
761	5241	1636
762	5247	1630
763	5254	1623
764	5261	1616
765	5268	1609
766	5275	1602
767	5281	1595
768	5288	1588
769	5295	1581
770	5303	1575
771	5309	1568
772	5316	1561
773	5324	1554
774	5331	1547
775	5339	1541
776	5345	1534
777	5352	1527
778	5360	1520
779	5368	1514
780	5375	1507
781	5382	1500
782	5389	1493
783	5396	1486
784	5403	1479
785	5410	1473
786	5418	1466
787	5426	1459
788	5433	1453
789	5439	1446
790	5446	1439
791	5453	1432
792	5459	1425
793	5465	1418
794	5472	1411
795	5479	1404
796	5486	1397
797	5493	1390
798	5500	1383
799	5506	1376
800	5512	1369
801	5518	1362
802	5524	1355
803	5530	1348
804	5537	1341
805	5544	1334
806	5551	1327
807	5557	1320
808	5563	1313
809	5570	1306
810	5576	1299
811	5582	1292
812	5588	1285
813	5595	1278
814	5601	1271
815	5608	1264
816	5615	1257
817	5622	1251
818	5629	1244
819	5636	1237
820	5643	1230
821	5650	1223
822	5657	1216
823	5663	1209
824	5670	1202
825	5677	1196
826	5684	1189
827	5691	1182
828	5698	1175
829	5706	1168
830	5712	1161
831	5719	1154
832	5728	1148
833	5735	1141
834	5743	1134
835	5750	1128
836	5758	1121
837	5765	1114
838	5771	1107
839	5779	1100
840	5785	1093
841	5792	1086
842	5799	1080
843	5806	1073
844	5813	1066
845	5820	1059
846	5827	1052
847	5834	1045
848	5841	1038
849	5848	1032
850	5855	1025
851	5862	1018
852	5868	1011
853	5875	1004
854	5883	997
855	5890	990
856	5897	983
857	5903	977
858	5911	970
859	5918	963
860	5925	956
861	5932	949
862	5939	942
863	5945	935
864	5953	929
865	5960	922
866	5969	915
867	5976	908
868	5983	902
869	5990	895
870	5997	888
871	6004	881
872	6011	874
873	6018	867
874	6025	860
875	6032	853
876	6040	847
877	6046	840
878	6053	833
879	6060	826
880	6066	819
881	6073	812
882	6079	805
883	6086	798
884	6093	791
885	6100	784
886	6107	778
887	6114	771
888	6121	764
889	6131	757
890	6145	751
891	6155	745
892	6162	738
893	6169	731
894	6176	724
895	6183	717
896	6190	710
897	6196	703
898	6203	696
899	6209	689
900	6215	682
901	6221	676
902	6228	669
903	6234	662
904	6240	655
905	6246	648
906	6253	641
907	6258	634
908	6266	627
909	6272	620
910	6279	613
911	6285	606
912	6291	599
913	6297	592
914	6304	585
915	6311	578
916	6317	571
917	6324	564
918	6331	558
919	6337	551
920	6344	544
921	6351	537
922	6358	530
923	6364	523
924	6370	516
925	6377	509
926	6383	502
927	6390	495
928	6397	488
929	6404	482
930	6410	475
931	6417	468
932	6423	461
933	6430	454
934	6436	447
935	6443	440
936	6449	433
937	6456	426
938	6463	419
939	6469	412
940	6476	406
941	6483	399
942	6490	392
943	6497	385
944	6503	378
945	6510	371
946	6516	364
947	6523	357
948	6530	350
949	6537	344
950	6543	337
951	6549	330
952	6556	323
953	6562	316
954	6568	309
955	6575	302
956	6580	295
957	6587	288
958	6593	281
959	6600	275
960	6606	268
961	6611	261
962	6618	254
963	6624	247
964	6630	240
965	6637	233
966	6643	226
967	6650	219
968	6657	212
969	6663	206
970	6669	199
971	6675	192
972	6682	185
973	6688	178
974	6695	171
975	6701	164
976	6707	157
977	6714	151
978	6720	144
979	6726	137
980	6732	130
981	6739	123
982	6745	116
983	6751	109
984	6758	102
985	6765	96
986	6772	89
987	6778	82
988	6784	75
989	6790	68
990	6798	61
991	6805	54
992	6812	48
993	6819	41
994	6826	34
995	6833	27
996	6839	20
997	6846	13
998	6852	6
999	6857	0
