iter	RMSE
323	0.08789654
324	0.087753552
325	0.08761722712
326	0.08757251892
327	0.08747703801
328	0.08733965005
329	0.08726930669
330	0.08714992391
331	0.08710535489
332	0.08694491656
333	0.08684396496
334	0.08671266734
335	0.08656336586
336	0.08648969551
337	0.08643414179
338	0.08633713859
339	0.08623708445
340	0.08616512456
341	0.08605333383
342	0.08596318357
343	0.08589720512
344	0.08584038441
345	0.08575377308
346	0.08566985673
347	0.08559199947
348	0.08547480632
349	0.0853872328
350	0.08527833326
351	0.08517287847
352	0.08506876085
353	0.08497636825
354	0.08482654732
355	0.08472691673
356	0.08467885289
357	0.08460916729
358	0.08453123024
359	0.08440053522
360	0.08436494991
361	0.08424083207
362	0.08414795226
363	0.08402254692
364	0.08394500889
365	0.08385610061
366	0.08373124215
367	0.08360133021
368	0.08355006414
369	0.08346565626
370	0.08341780251
371	0.08328253064
372	0.08323084397
373	0.08311855807
374	0.08305633721
375	0.08297639758
376	0.08289486
377	0.08278332247
378	0.08268276565
379	0.08260488929
380	0.08250612098
381	0.08239625811
382	0.08234022056
383	0.08227296136
384	0.08217742531
385	0.08210081742
386	0.08205570976
387	0.08198687614
388	0.08188095199
389	0.0817737252
390	0.08170014299
391	0.08159850679
392	0.08151939953
393	0.08145683332
394	0.08142806302
395	0.08133715321
396	0.08125114033
397	0.0811737057
398	0.08108819451
399	0.08101886146
400	0.08093903013
401	0.08091593794
402	0.0808337981
403	0.08075839581
404	0.08067969244
405	0.08061824906
406	0.08051151579
407	0.08043635714
408	0.08036505536
409	0.08030713605
410	0.08022377814
411	0.08016631634
412	0.08008707287
413	0.08002497131
414	0.07994652083
415	0.07988507724
416	0.07977321958
417	0.07965305614
418	0.07952733691
419	0.07941729177
420	0.07936463694
421	0.07926725187
422	0.07917511691
423	0.0790894104
424	0.07902084104
425	0.07893058538
426	0.07883636083
427	0.07877592924
428	0.07873922791
429	0.07862813982
430	0.07857937048
431	0.07849155513
432	0.07840410481
433	0.07834511494
434	0.07824735234
435	0.07821108482
436	0.07812366838
437	0.07804741466
438	0.07800349597
439	0.07792472686
440	0.07790094503
441	0.07785166698
442	0.07774993452
443	0.07765353211
444	0.07755200664
445	0.07753545317
446	0.07741537153
447	0.07732574044
448	0.07726533101
449	0.0772286748
450	0.07716139008
451	0.07707795758
452	0.07699896596
453	0.0769656735
454	0.07687678509
455	0.07682853103
456	0.0767604669
457	0.07670243108
458	0.07668684557
459	0.07660933585
460	0.07653777322
461	0.07648761372
462	0.0764053787
463	0.07633133886
464	0.07625614266
465	0.07619156001
466	0.07610449066
467	0.07600125313
468	0.07598122319
469	0.0758806984
470	0.07578567325
471	0.07570040638
472	0.07566303979
473	0.0755911818
474	0.07555496608
475	0.07554012096
476	0.07547422341
477	0.07542338193
478	0.07538916429
479	0.07528409474
480	0.07525859963
481	0.07522313139
482	0.07518581536
483	0.07513921714
484	0.07510212794
485	0.07503893782
486	0.07498898382
487	0.07490940982
488	0.07484758593
489	0.07480575278
490	0.07475057977
491	0.07466135041
492	0.07460976518
493	0.0745312093
494	0.07448284251
495	0.0744101698
496	0.07431635109
497	0.0742541115
498	0.07423999
499	0.07415044325
500	0.07406889569
501	0.07400665492
502	0.07392902326
503	0.07387941659
504	0.07385034365
505	0.07382121829
506	0.07377039665
507	0.07375425483
508	0.07366814578
509	0.07361463325
510	0.07355954077
511	0.07353120756
512	0.07348044538
513	0.07339986511
514	0.07338743093
515	0.07332138948
516	0.07326770045
517	0.07318845038
518	0.07310248715
519	0.0730199005
520	0.07294702781
521	0.07285972868
522	0.07277481863
523	0.07270585003
524	0.07267444507
525	0.07255739071
526	0.07248754771
527	0.07242364699
528	0.0724006442
529	0.07234865348
530	0.07226360716
531	0.07225347485
532	0.07223492316
533	0.07212981059
534	0.07211382487
535	0.07206448909
536	0.0720162778
537	0.07194890491
538	0.07185269762
539	0.07178069056
540	0.07175750697
541	0.07174766305
542	0.07167888092
543	0.07160112927
544	0.07157447881
545	0.07152248053
546	0.07147288066
547	0.07140341284
548	0.07135230224
549	0.07130359495
550	0.07124434238
551	0.07115379288
552	0.07106199201
553	0.07099395153
554	0.07095374052
555	0.0709193021
556	0.0708422141
557	0.07081947872
558	0.07077936737
559	0.07070127573
560	0.07062957702
561	0.070568504
562	0.07050548788
563	0.07044871066
564	0.07040814867
565	0.07035195068
566	0.07034334313
567	0.07028040886
568	0.07023270512
569	0.07016504286
570	0.07012696875
571	0.07007075578
572	0.06999768737
573	0.06992027683
574	0.06989792498
575	0.06985365137
576	0.06983415007
577	0.06975861294
578	0.06971080904
579	0.06967359726
580	0.06965070532
581	0.06961097423
582	0.06954222674
583	0.06950613723
584	0.0694328484
585	0.0693739902
586	0.06929279665
587	0.06924650949
588	0.06917500916
589	0.06911228423
590	0.06903139347
591	0.06896820718
592	0.06892964026
593	0.068864001
594	0.06882363007
595	0.06875109345
596	0.06869418498
597	0.06862616046
598	0.06856507761
599	0.06855742495
600	0.06848333308
601	0.06842508994
602	0.0683661426
603	0.06833305218
604	0.06824530918
605	0.06816644267
606	0.06812363217
607	0.06802120657
608	0.06793442701
609	0.06786761642
610	0.06779113596
611	0.06772423722
612	0.06765307541
613	0.06762305681
614	0.06754148559
615	0.06746743561
616	0.06739834859
617	0.06732172236
618	0.06726401768
619	0.06721993714
620	0.06718735913
621	0.06711643143
622	0.06710469152
623	0.06702571053
624	0.06698369011
625	0.06692066698
626	0.06686165253
627	0.06681244144
628	0.06677845829
629	0.06670462171
630	0.06662629796
631	0.06658631062
632	0.06655492381
633	0.06649523247
634	0.06647609766
635	0.0664074405
636	0.06633757831
637	0.06625418249
638	0.06620520894
639	0.06614256987
640	0.0660610129
641	0.06603129194
642	0.06599237569
643	0.06591768353
644	0.06586448856
645	0.0658124444
646	0.0657699576
647	0.06565177919
648	0.06557513868
649	0.06551343172
650	0.06543503191
651	0.06536232132
652	0.06530258209
653	0.06521646564
654	0.06518992434
655	0.06512387869
656	0.06509317364
657	0.06500261764
658	0.06498514612
659	0.06491982055
660	0.06483666859
661	0.06475190899
662	0.06467480341
663	0.06464096575
664	0.06457121567
665	0.06452271074
666	0.06451784419
667	0.06445481004
668	0.06437288231
669	0.06431996418
670	0.0642716735
671	0.06422982822
672	0.06421280894
673	0.06414237811
674	0.06406924715
675	0.06398678372
676	0.06392563635
677	0.06385966764
678	0.06380398736
679	0.06373781361
680	0.06365224262
681	0.06359833282
682	0.06354666453
683	0.06352976832
684	0.06351647434
685	0.06347193711
686	0.06343468677
687	0.06339915947
688	0.06335161927
689	0.0633272507
690	0.06326074668
691	0.06322030203
692	0.06315386025
693	0.0631491489
694	0.06308677108
695	0.06308139819
696	0.06298657504
697	0.06295022864
698	0.06289265476
699	0.06282842336
700	0.06275871451
701	0.06270684996
702	0.06264380233
703	0.06261210019
704	0.06258234333
705	0.06250004908
706	0.06246709671
707	0.06238428352
708	0.06235167715
709	0.06234679322
710	0.06230235738
711	0.0622602397
712	0.06219113668
713	0.06211557513
714	0.06207889364
715	0.0620363889
716	0.06199751271
717	0.06195401655
718	0.06190618276
719	0.06183963932
720	0.061766166
721	0.06172203855
722	0.06164311954
723	0.0615821738
724	0.06150420048
725	0.06146578163
726	0.06140409851
727	0.06136772354
728	0.06132854353
729	0.0612947646
730	0.06122546502
731	0.06117739312
732	0.06112936625
733	0.06108610946
734	0.06101931694
735	0.060964683
736	0.06089063573
737	0.0608850674
738	0.06086479651
739	0.06082775263
740	0.06078077636
741	0.06074694774
742	0.06068565823
743	0.06062783398
744	0.06055773771
745	0.06049586168
746	0.0604327332
747	0.06041613338
748	0.06036282723
749	0.06030447965
750	0.06027402029
751	0.06020752588
752	0.06015394153
753	0.06011820227
754	0.06004550622
755	0.05997344726
756	0.05992835536
757	0.05988539266
758	0.05983305128
759	0.05979761946
760	0.05979190545
761	0.05975043866
762	0.0597450573
763	0.05969046326
764	0.05964052537
765	0.05957142384
766	0.05956628306
767	0.05956114735
768	0.05948384584
769	0.05943608183
770	0.05938294943
771	0.05932011451
772	0.05924383193
773	0.05920551484
774	0.05917562614
775	0.05914208458
776	0.05911256726
777	0.05904857047
778	0.05901747434
779	0.05895840606
780	0.05889645482
781	0.05886648166
782	0.05881273554
783	0.05878224465
784	0.05871974462
785	0.05867745985
786	0.05864168609
787	0.05861709298
788	0.0585592651
789	0.05855304367
790	0.05854840642
791	0.05848710893
792	0.05842967276
793	0.05838604188
794	0.05829885793
795	0.05827813159
796	0.05822247746
797	0.05815516729
798	0.05809597871
799	0.05803118805
800	0.05799541383
801	0.05793680994
802	0.05793209009
803	0.05787684777
804	0.05783794667
805	0.05777611756
806	0.05774274396
807	0.05769302868
808	0.05763745034
809	0.05760031835
810	0.05754937877
811	0.05754446582
812	0.05749853566
813	0.05742381297
814	0.05737864927
815	0.0573284234
816	0.05731325163
817	0.05724957389
818	0.05719866766
819	0.05719449574
820	0.05717316863
821	0.05713992619
822	0.05707642181
823	0.05704388442
824	0.0570398001
825	0.05698376027
826	0.05696022736
827	0.05693070913
828	0.05686908784
829	0.05680498974
830	0.0567944459
831	0.0567585154
832	0.05673022908
833	0.05670168591
834	0.05663993728
835	0.05658041029
836	0.05653675826
837	0.05650390962
838	0.05644956143
839	0.05639423024
840	0.0563499155
841	0.05629971824
842	0.0562936472
843	0.05628807838
844	0.05622839682
845	0.05622303039
846	0.05616325919
847	0.05612025912
848	0.05609181365
849	0.0560363982
850	0.05599228746
851	0.05598857778
852	0.05594334176
853	0.05589664979
854	0.05585927872
855	0.05583298119
856	0.05578579947
857	0.05572424818
858	0.05568119298
859	0.05564261854
860	0.05558747445
861	0.05553710409
862	0.05552212104
863	0.05547371298
864	0.05541895937
865	0.0553668896
866	0.05531842407
867	0.05525757783
868	0.05524005379
869	0.05521157737
870	0.05519243194
871	0.05515603445
872	0.05511239246
873	0.05505379901
874	0.0550059389
875	0.05495636913
876	0.0548980245
877	0.0548700549
878	0.05485503227
879	0.05483063659
880	0.05477559289
881	0.0547528411
882	0.05474841041
883	0.05474397494
884	0.0546819684
885	0.05462415693
886	0.05456850104
887	0.05451182319
888	0.05445665853
889	0.0544525154
890	0.05442080472
891	0.05437984927
892	0.05433083924
893	0.05428309084
894	0.05423460559
895	0.0542120384
896	0.05420703285
897	0.05414626322
898	0.05410644872
899	0.05403745588
900	0.05403189265
901	0.05399591845
902	0.05399198529
903	0.05398805266
904	0.05394763347
905	0.05390125489
906	0.05386252385
907	0.05381316449
908	0.05377626906
909	0.05373559548
910	0.05369766731
911	0.0536931909
912	0.05366351873
913	0.05362506561
914	0.05362092389
915	0.05356998259
916	0.05356598407
917	0.05352916737
918	0.05350564536
919	0.05345328279
920	0.05344949935
921	0.05344607779
922	0.05341291898
923	0.05338915827
924	0.05330718757
925	0.05323849718
926	0.05316944705
927	0.05313782953
928	0.05307781776
929	0.05303249115
930	0.05297516058
931	0.05291393066
932	0.05288337533
933	0.05282887446
934	0.0527675308
935	0.05273026117
936	0.0527138726
937	0.05271045039
938	0.05269159357
939	0.0526715239
940	0.05262045911
941	0.05256024494
942	0.05253171712
943	0.05247260634
944	0.05241531281
945	0.05235137689
946	0.05232891721
947	0.05225993045
948	0.05223685088
949	0.05223306067
950	0.05221210179
951	0.05217127313
952	0.0521532467
953	0.05210476217
954	0.0520398611
955	0.05199204237
956	0.05196600768
957	0.05193176763
958	0.05187082073
959	0.05182212816
960	0.05178516539
961	0.05174302806
962	0.05174000992
963	0.0517034817
964	0.051652372
965	0.05164809349
966	0.05163387984
967	0.05157822647
968	0.05153421187
969	0.05150188319
970	0.05146483954
971	0.05141080229
972	0.05135463873
973	0.05131027518
974	0.05125708511
975	0.05123424832
976	0.05117889622
977	0.05113466466
978	0.0510936901
979	0.05107199104
980	0.05102829182
981	0.05098836582
982	0.05097119633
983	0.05096080002
984	0.05093343507
985	0.05087042709
986	0.05082292841
987	0.05076051832
988	0.05071417394
989	0.05067892017
990	0.05059654248
991	0.05055890308
992	0.0504992323
993	0.05044915613
994	0.05043140437
995	0.0504279381
996	0.0503713135
997	0.05032291722
998	0.05027320255
999	0.05023203386
